2023-07-30 10:02:04 startup archives unpack
2023-07-30 10:02:04 upgrade libncurses6:arm64 6.2+20201114-2 6.2+20201114-2+deb11u1
2023-07-30 10:02:04 status triggers-pending libc-bin:arm64 2.31-13+rpt2+rpi1+deb11u2
2023-07-30 10:02:04 status half-configured libncurses6:arm64 6.2+20201114-2
2023-07-30 10:02:04 status unpacked libncurses6:arm64 6.2+20201114-2
2023-07-30 10:02:04 status half-installed libncurses6:arm64 6.2+20201114-2
2023-07-30 10:02:04 status unpacked libncurses6:arm64 6.2+20201114-2+deb11u1
2023-07-30 10:02:04 upgrade libncursesw6:arm64 6.2+20201114-2 6.2+20201114-2+deb11u1
2023-07-30 10:02:04 status half-configured libncursesw6:arm64 6.2+20201114-2
2023-07-30 10:02:04 status unpacked libncursesw6:arm64 6.2+20201114-2
2023-07-30 10:02:04 status half-installed libncursesw6:arm64 6.2+20201114-2
2023-07-30 10:02:04 status unpacked libncursesw6:arm64 6.2+20201114-2+deb11u1
2023-07-30 10:02:05 upgrade libtinfo6:arm64 6.2+20201114-2 6.2+20201114-2+deb11u1
2023-07-30 10:02:05 status half-configured libtinfo6:arm64 6.2+20201114-2
2023-07-30 10:02:05 status unpacked libtinfo6:arm64 6.2+20201114-2
2023-07-30 10:02:05 status half-installed libtinfo6:arm64 6.2+20201114-2
2023-07-30 10:02:05 status unpacked libtinfo6:arm64 6.2+20201114-2+deb11u1
2023-07-30 10:02:05 startup packages configure
2023-07-30 10:02:05 configure libtinfo6:arm64 6.2+20201114-2+deb11u1 <none>
2023-07-30 10:02:05 status unpacked libtinfo6:arm64 6.2+20201114-2+deb11u1
2023-07-30 10:02:05 status half-configured libtinfo6:arm64 6.2+20201114-2+deb11u1
2023-07-30 10:02:05 status installed libtinfo6:arm64 6.2+20201114-2+deb11u1
2023-07-30 10:02:05 startup archives unpack
2023-07-30 10:02:05 install file:arm64 <none> 1:5.39-3
2023-07-30 10:02:05 status half-installed file:arm64 1:5.39-3
2023-07-30 10:02:05 status triggers-pending man-db:arm64 2.9.4-2
2023-07-30 10:02:05 status unpacked file:arm64 1:5.39-3
2023-07-30 10:02:06 install libsigsegv2:arm64 <none> 2.13-1
2023-07-30 10:02:06 status half-installed libsigsegv2:arm64 2.13-1
2023-07-30 10:02:06 status unpacked libsigsegv2:arm64 2.13-1
2023-07-30 10:02:06 install m4:arm64 <none> 1.4.18-5
2023-07-30 10:02:06 status half-installed m4:arm64 1.4.18-5
2023-07-30 10:02:07 status unpacked m4:arm64 1.4.18-5
2023-07-30 10:02:07 install autoconf:all <none> 2.69-14
2023-07-30 10:02:07 status half-installed autoconf:all 2.69-14
2023-07-30 10:02:07 status unpacked autoconf:all 2.69-14
2023-07-30 10:02:07 install autotools-dev:all <none> 20180224.1+nmu1
2023-07-30 10:02:07 status half-installed autotools-dev:all 20180224.1+nmu1
2023-07-30 10:02:07 status unpacked autotools-dev:all 20180224.1+nmu1
2023-07-30 10:02:07 install automake:all <none> 1:1.16.3-2
2023-07-30 10:02:07 status half-installed automake:all 1:1.16.3-2
2023-07-30 10:02:08 status unpacked automake:all 1:1.16.3-2
2023-07-30 10:02:08 install cmake-data:all <none> 3.18.4-2+rpt1+rpi1+deb11u1
2023-07-30 10:02:08 status half-installed cmake-data:all 3.18.4-2+rpt1+rpi1+deb11u1
2023-07-30 10:02:10 status unpacked cmake-data:all 3.18.4-2+rpt1+rpi1+deb11u1
2023-07-30 10:02:10 install libarchive13:arm64 <none> 3.4.3-2+deb11u1
2023-07-30 10:02:10 status half-installed libarchive13:arm64 3.4.3-2+deb11u1
2023-07-30 10:02:11 status unpacked libarchive13:arm64 3.4.3-2+deb11u1
2023-07-30 10:02:11 install libjsoncpp24:arm64 <none> 1.9.4-4
2023-07-30 10:02:11 status half-installed libjsoncpp24:arm64 1.9.4-4
2023-07-30 10:02:11 status unpacked libjsoncpp24:arm64 1.9.4-4
2023-07-30 10:02:11 install librhash0:arm64 <none> 1.4.1-2
2023-07-30 10:02:11 status half-installed librhash0:arm64 1.4.1-2
2023-07-30 10:02:14 status unpacked librhash0:arm64 1.4.1-2
2023-07-30 10:02:14 install cmake:arm64 <none> 3.18.4-2+rpt1+rpi1+deb11u1
2023-07-30 10:02:14 status half-installed cmake:arm64 3.18.4-2+rpt1+rpi1+deb11u1
2023-07-30 10:02:15 status unpacked cmake:arm64 3.18.4-2+rpt1+rpi1+deb11u1
2023-07-30 10:02:15 install dns-root-data:all <none> 2021011101
2023-07-30 10:02:15 status half-installed dns-root-data:all 2021011101
2023-07-30 10:02:15 status unpacked dns-root-data:all 2021011101
2023-07-30 10:02:16 install libnfnetlink0:arm64 <none> 1.0.1-3+b1
2023-07-30 10:02:16 status half-installed libnfnetlink0:arm64 1.0.1-3+b1
2023-07-30 10:02:16 status unpacked libnfnetlink0:arm64 1.0.1-3+b1
2023-07-30 10:02:16 install libnetfilter-conntrack3:arm64 <none> 1.0.8-3
2023-07-30 10:02:16 status half-installed libnetfilter-conntrack3:arm64 1.0.8-3
2023-07-30 10:02:16 status unpacked libnetfilter-conntrack3:arm64 1.0.8-3
2023-07-30 10:02:16 install dnsmasq-base:arm64 <none> 2.85-1
2023-07-30 10:02:16 status half-installed dnsmasq-base:arm64 2.85-1
2023-07-30 10:02:16 status triggers-pending dbus:arm64 1.12.20-2
2023-07-30 10:02:18 status unpacked dnsmasq-base:arm64 2.85-1
2023-07-30 10:02:19 install dnsmasq:all <none> 2.85-1
2023-07-30 10:02:19 status half-installed dnsmasq:all 2.85-1
2023-07-30 10:02:19 status unpacked dnsmasq:all 2.85-1
2023-07-30 10:02:20 install liberror-perl:all <none> 0.17029-1
2023-07-30 10:02:20 status half-installed liberror-perl:all 0.17029-1
2023-07-30 10:02:20 status unpacked liberror-perl:all 0.17029-1
2023-07-30 10:02:21 install git-man:all <none> 1:2.30.2-1+deb11u2
2023-07-30 10:02:21 status half-installed git-man:all 1:2.30.2-1+deb11u2
2023-07-30 10:02:22 status unpacked git-man:all 1:2.30.2-1+deb11u2
2023-07-30 10:02:23 install git:arm64 <none> 1:2.30.2-1+deb11u2
2023-07-30 10:02:23 status half-installed git:arm64 1:2.30.2-1+deb11u2
2023-07-30 10:02:28 status unpacked git:arm64 1:2.30.2-1+deb11u2
2023-07-30 10:02:29 install libi2c0:arm64 <none> 4.2-1+b1
2023-07-30 10:02:29 status half-installed libi2c0:arm64 4.2-1+b1
2023-07-30 10:02:30 status unpacked libi2c0:arm64 4.2-1+b1
2023-07-30 10:02:31 install i2c-tools:arm64 <none> 4.2-1+b1
2023-07-30 10:02:31 status half-installed i2c-tools:arm64 4.2-1+b1
2023-07-30 10:02:31 status unpacked i2c-tools:arm64 4.2-1+b1
2023-07-30 10:02:31 install ifplugd:arm64 <none> 0.28-19.5
2023-07-30 10:02:31 status half-installed ifplugd:arm64 0.28-19.5
2023-07-30 10:02:31 status unpacked ifplugd:arm64 0.28-19.5
2023-07-30 10:02:31 install libip6tc2:arm64 <none> 1.8.7-1
2023-07-30 10:02:31 status half-installed libip6tc2:arm64 1.8.7-1
2023-07-30 10:02:31 status unpacked libip6tc2:arm64 1.8.7-1
2023-07-30 10:02:32 install iptables:arm64 <none> 1.8.7-1
