headingMag,PitchGPS,B1,Z3,M3,GPSTrueCourse,BaroPressureAltitude,W3,W1,needsInitialization,PitchGyr,H1,GPSNACp,C2,gLoad,EGPS2,EGPS3,Roll,E3,Pitch,staticMode,WValid,HeadingGPS,W1a,EGyr1,Z1,GPSHorizontalAccuracy,D1,TWa,W2,SmoothGroundSpeed,A2,T,H2,GPSVerticalAccuracy,A3,B2,SmoothW2,EGyr0,E0,A1,GPSFixQuality,headingValid,Ta,E1,slipSkid,C3,M2,Heading,SmoothW1,H3,GPSAltitudeMSL,C1,M1,W2a,EGyr3,HeadingGyr,EGPS0,B3,Z2,TW,E2,EGyr2,turnRate,RollGyr,RollGPS,W3a,GroundSpeed,D3,EGPS1,D2,BaroVerticalSpeed
3.141593,0.000000,-0.815677,0.000000,0.000000,0.000000,441.625366,-0.010219,0.000000,0.000000,0.000000,0.000000,10.000000,-0.306966,0.895376,0.000000,0.707107,0.000000,0.707107,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,7.400000,5.721267,-6795364573.101345,0.267000,0.005340,0.045792,-6795364573.061345,0.000000,16.000000,-1.118720,0.648692,0.005340,0.707107,0.707107,0.008734,1.000000,0.000000,-6795364573.061345,0.000000,-0.312927,-1.117113,0.000000,0.000000,0.000000,0.000000,394.685059,0.199615,0.000000,0.267000,0.707107,0.000000,0.707107,0.357205,0.000000,-6795364573.101345,0.000000,0.000000,-0.101952,0.000000,0.000000,-0.010219,0.267000,-3.046129,0.000000,-5.085964,-1.034857
3.141593,6.203120,-0.829086,-0.627547,0.000000,0.000000,441.604858,-0.012403,0.000000,0.000000,-0.162334,3.948135,10.000000,-0.306966,0.895488,0.039312,0.707810,0.448577,0.705983,-0.032100,1.000000,1.000000,359.707198,0.000000,0.000219,-0.102669,7.400000,5.721267,-6795364573.101345,0.267000,0.005340,0.045859,-6795364573.011345,3.239647,16.000000,-1.120070,0.648518,0.005340,0.708366,0.708218,0.009033,1.000000,0.000000,-6795364573.061345,0.002575,-0.312926,-1.117113,0.000000,0.180951,0.000000,-4.089788,394.685059,0.199615,0.000000,0.267000,0.705842,0.204211,0.695873,0.356049,-0.203046,-6795364573.101345,0.002962,0.002218,-0.101952,0.197118,12.529497,-0.010219,0.267000,-3.046129,0.114979,-5.085964,-1.256038
3.141593,8.034428,-0.801111,-0.814700,0.000000,0.000000,441.604858,-0.012403,0.000000,0.000000,-0.245531,5.110439,10.000000,-0.306966,0.895430,0.051213,0.705949,1.025345,0.704526,-0.073202,1.000000,1.000000,359.885807,0.000000,0.002848,-0.132799,7.400000,5.721267,-6795364573.101345,0.156000,0.008353,0.046266,-6795364572.961345,4.215257,16.000000,-1.118076,0.659963,0.008353,0.709844,0.709622,0.009827,1.000000,0.000000,-6795364573.011345,0.005900,-0.312966,-1.117113,0.000000,0.412268,0.000000,-5.329871,395.013153,0.199615,0.000000,0.267000,0.704329,0.445313,0.690498,0.377667,-0.263878,-6795364572.991345,0.006757,0.005845,-0.091757,0.703459,16.316937,-0.012403,0.156000,-3.046129,0.149085,-5.085964,-1.256038
3.141593,8.609118,-0.826543,-0.871421,0.000000,0.000000,441.634033,-0.008771,0.000000,0.000000,-0.304781,5.479534,10.000000,-0.306966,0.895460,0.054648,0.705217,1.633006,0.702982,-0.119025,1.000000,1.000000,359.963220,0.000000,0.006191,-0.142712,7.400000,5.721267,-6795364572.991345,0.156000,0.008353,0.046470,-6795364572.911345,4.517184,16.000000,-1.119378,0.666321,0.008353,0.711337,0.711064,0.008545,1.000000,0.000000,-6795364572.961345,0.009403,-0.313022,-1.117113,0.000000,0.653200,0.000000,-5.688318,395.013153,0.199615,0.000000,0.156000,0.702754,0.692047,0.688653,0.350963,-0.282451,-6795364572.991345,0.010757,0.009855,-0.091757,1.298399,17.465755,-0.012403,0.156000,-3.046129,0.159497,-5.085964,-0.888265
3.141593,8.794054,-0.824000,-0.887583,0.000000,0.000000,441.634033,-0.008771,0.000000,0.000000,-0.358299,5.590338,10.000000,-0.306966,0.895365,0.055516,0.704993,2.240605,0.701427,-0.168383,1.000000,1.000000,359.988731,0.000000,0.009697,-0.145649,7.400000,5.721267,-6795364572.991345,0.261000,0.013406,0.045778,-6795364572.861345,4.608876,16.000000,-1.117710,0.663778,0.013406,0.712788,0.712472,0.008362,1.000000,0.000000,-6795364572.911345,0.012902,-0.313017,-1.117113,0.000000,0.891850,0.000000,-5.784935,394.356964,0.199615,0.000000,0.156000,0.701174,0.935178,0.688084,0.335704,-0.287362,-6795364572.901345,0.014764,0.013926,-0.082581,1.911343,17.797508,-0.008771,0.261000,-3.046129,0.162614,-5.085964,-0.888265
3.141593,8.821358,-0.818913,-0.892530,0.000000,0.000000,441.634033,-0.008599,0.000000,0.000000,-0.410906,5.616499,10.000000,-0.306966,0.895293,0.055878,0.704916,2.838681,0.699872,-0.220416,1.000000,1.000000,359.996610,0.000000,0.013198,-0.145772,7.400000,5.721267,-6795364572.901345,0.261000,0.013406,0.045534,-6795364572.811345,4.612142,16.000000,-1.117588,0.638345,0.013406,0.714190,0.713836,0.009644,1.000000,0.000000,-6795364572.861345,0.016340,-0.312984,-1.117113,0.000000,1.126454,0.000000,-5.834042,394.356964,0.199615,0.000000,0.261000,0.699597,1.173725,0.687969,0.373852,-0.288676,-6795364572.901345,0.018715,0.017949,-0.082581,2.520006,17.885383,-0.008771,0.261000,-3.046129,0.163309,-5.085964,-0.870848
3.141593,8.864826,-0.850703,-0.893715,0.000000,0.000000,441.634033,-0.008599,0.000000,0.000000,-0.466358,5.648700,10.000000,-0.306966,0.895186,0.055848,0.704904,3.426747,0.698332,-0.274868,1.000000,1.000000,359.998977,0.000000,0.016640,-0.146828,7.400000,5.721267,-6795364572.901345,0.197000,0.017078,0.046083,-6795364572.761345,4.621658,16.000000,-1.117527,0.644704,0.017078,0.715535,0.715145,0.007874,1.000000,0.000000,-6795364572.811345,0.019715,-0.313013,-1.117113,0.000000,1.354795,0.000000,-5.838490,394.028870,0.199615,0.000000,0.261000,0.698034,1.405979,0.687865,0.350963,-0.289376,-6795364572.801345,0.022606,0.021921,-0.074323,3.119441,17.924609,-0.008599,0.197000,-3.046129,0.163807,-5.085964,-0.870848
3.141593,8.861367,-0.821457,-0.895616,0.000000,0.000000,441.634033,-0.008431,0.000000,0.000000,-0.523683,5.637059,10.000000,-0.306966,0.895311,0.055767,0.704906,4.001654,0.696807,-0.332104,1.000000,1.000000,359.999693,0.000000,0.020008,-0.146710,7.400000,5.721267,-6795364572.801345,0.197000,0.017078,0.044964,-6795364572.711345,4.621768,16.000000,-1.119744,0.643432,0.017078,0.716826,0.716402,0.009033,1.000000,0.000000,-6795364572.761345,0.023006,-0.312925,-1.117113,0.000000,1.577179,0.000000,-5.842882,394.028870,0.199615,0.000000,0.197000,0.696487,1.632003,0.687898,0.361136,-0.289293,-6795364572.801345,0.026422,0.025816,-0.074323,3.706668,17.908066,-0.008599,0.197000,-3.046129,0.163687,-5.085964,-0.853772
3.141593,8.863230,-0.827815,-0.894843,0.000000,0.000000,441.634033,-0.008431,0.000000,0.000000,-0.583705,5.637329,10.000000,-0.306966,0.895231,0.055975,0.704888,4.565393,0.695298,-0.391750,1.000000,1.000000,359.999908,0.000000,0.023295,-0.146701,7.400000,5.721267,-6795364572.801345,0.107000,0.018876,0.046815,-6795364572.661345,4.621716,16.000000,-1.117954,0.644704,0.018876,0.718065,0.717609,0.008606,1.000000,0.000000,-6795364572.711345,0.026224,-0.313021,-1.117113,0.000000,1.793685,0.000000,-5.848571,393.044647,0.199615,0.000000,0.197000,0.694955,1.852163,0.687846,0.366222,-0.290049,-6795364572.701345,0.030173,0.029639,-0.066891,4.281324,17.943906,-0.008431,0.107000,-3.046129,0.163913,-5.085964,-0.853772
3.141593,8.862470,-0.803654,-0.895531,0.000000,0.000000,441.527069,-0.020690,0.000000,0.000000,-0.646388,5.621338,10.000000,-0.306966,0.895290,0.055988,0.704887,5.116685,0.693809,-0.453997,1.000000,1.000000,359.999972,0.000000,0.026503,-0.146771,7.400000,5.721267,-6795364572.701345,0.107000,0.018876,0.046022,-6795364572.611345,4.629124,16.000000,-1.119338,0.653605,0.018876,0.719250,0.718764,0.008749,1.000000,0.000000,-6795364572.661345,0.029360,-0.313030,-1.117113,0.000000,2.003949,0.000000,-5.843958,393.044647,0.199615,0.000000,0.107000,0.693442,2.065919,0.687845,0.358592,-0.290038,-6795364572.701345,0.033853,0.033394,-0.066891,4.843988,17.945184,-0.008431,0.107000,-3.046129,0.163916,-5.085964,-2.095228
