E2,A1,GPSTrueCourse,C2,WValid,SmoothGroundSpeed,GPSFixQuality,TW,EGPS2,B3,W2,Pitch,C1,GPSHorizontalAccuracy,H1,RollGyr,needsInitialization,D3,HeadingGPS,EGyr3,gLoad,Z2,W3a,B2,GPSNACp,GPSAltitudeMSL,TWa,Roll,W1,A2,W1a,staticMode,PitchGyr,W2a,EGPS0,B1,M2,W3,T,E3,A3,M1,Heading,D1,BaroVerticalSpeed,RollGPS,HeadingGyr,BaroPressureAltitude,PitchGPS,C3,SmoothW1,M3,D2,slipSkid,turnRate,Z1,headingValid,EGPS3,Ta,H3,headingMag,EGyr2,EGyr0,GroundSpeed,SmoothW2,EGPS1,E0,EGyr1,H2,E1,Z3,GPSVerticalAccuracy
0.000000,0.005413,0.000000,0.045944,1.000000,0.003920,1.000000,-6795364573.131345,0.000000,0.399342,0.196000,0.000000,0.009053,6.200000,0.000000,0.000000,0.000000,0.342265,0.000000,0.707107,0.996307,0.000000,0.010827,0.631178,10.000000,321.522308,-6795364573.131345,0.000000,0.000000,0.049415,0.000000,0.000000,0.000000,0.196000,0.707107,-0.810301,0.000000,0.010827,-6795364573.071345,0.707107,-1.117452,0.000000,0.000000,-0.784478,1.096479,0.000000,0.000000,447.981201,0.000000,-1.121714,0.000000,0.000000,0.644398,-0.003257,-0.001008,0.000000,0.000000,0.707107,-6795364573.071345,0.000000,3.141593,0.000000,0.707107,0.196000,0.003920,0.000000,0.707107,0.000000,0.000000,0.000000,0.000000,12.750000
0.000016,0.005615,0.000000,0.045944,1.000000,0.009762,1.000000,-6795364573.031345,0.000422,0.389111,0.296000,0.003150,0.009053,6.200000,0.040746,0.002037,0.000000,0.342265,359.999913,0.707096,0.996315,-0.003313,0.010827,0.621815,10.000000,320.866150,-6795364573.131345,0.005807,0.000000,0.051088,0.000000,1.000000,0.000723,0.196000,0.707104,-0.843074,0.000000,0.007226,-6795364573.021345,0.707097,-1.117466,0.000000,0.001648,-0.784478,0.731771,0.190516,0.001687,447.952026,0.122079,-1.121714,0.000000,0.000000,0.644398,-0.003406,-0.000908,-0.002123,0.000000,0.707107,-6795364573.071345,-0.033741,3.141593,0.000008,0.707117,0.296000,0.009762,0.001929,0.707117,0.000017,-0.014453,0.000055,-0.697468,12.750000
0.000024,0.005900,0.000000,0.045944,1.000000,0.009762,1.000000,-6795364573.031345,0.000314,0.368765,0.296000,0.007008,0.009053,6.200000,0.023712,0.006993,0.000000,0.342265,359.999973,0.707088,0.996276,-0.003266,0.007226,0.623086,10.000000,320.866150,-6795364573.031345,0.010887,0.000000,0.049399,0.000000,1.000000,0.004074,0.296000,0.707103,-0.801111,0.000000,0.007226,-6795364572.971345,0.707088,-1.117018,0.000000,0.003048,-0.784478,0.731771,0.201693,0.003116,447.952026,0.150773,-1.121714,0.000000,0.000000,0.644398,-0.003391,-0.000908,-0.002580,0.000000,0.707107,-6795364573.021345,-0.029361,3.141593,0.000018,0.707126,0.296000,0.009762,0.002175,0.707126,0.000068,-0.018483,0.000110,-0.906387,12.750000
0.000031,0.007202,0.000000,0.045944,1.000000,0.016346,1.000000,-6795364572.931345,0.000348,0.392926,0.339000,0.010061,0.009053,6.200000,0.015797,0.011677,0.000000,0.342265,359.999990,0.707074,0.996241,-0.002897,0.007226,0.629444,10.000000,320.209991,-6795364573.031345,0.015052,0.000000,0.048830,0.000000,1.000000,0.007735,0.296000,0.707104,-0.797296,0.000000,0.007084,-6795364572.921345,0.707075,-1.117038,0.000000,0.005176,-0.784478,0.717422,0.180409,0.005285,447.952026,0.124069,-1.121714,0.000000,0.000000,0.644398,-0.003327,-0.000817,-0.001905,0.000000,0.707107,-6795364572.971345,-0.044741,3.141593,0.000024,0.707139,0.339000,0.016346,0.001879,0.707139,0.000120,-0.014553,0.000155,-0.969068,12.750000
0.000043,0.005331,0.000000,0.045944,1.000000,0.016346,1.000000,-6795364572.931345,0.000282,0.406913,0.339000,0.013529,0.009053,6.200000,0.035596,0.016832,0.000000,0.342265,359.999995,0.707057,0.996342,-0.003586,0.007084,0.630716,10.000000,320.209991,-6795364572.931345,0.020487,0.000000,0.050172,0.000000,1.000000,0.010665,0.339000,0.707103,-0.829086,0.000000,0.007084,-6795364572.871345,0.707058,-1.118483,0.000000,0.007973,-0.784478,0.717422,0.199572,0.008140,447.952026,0.153914,-1.121714,0.000000,0.000000,0.644398,-0.003384,-0.000817,-0.002877,0.000000,0.707107,-6795364572.921345,-0.059280,3.141593,0.000038,0.707157,0.339000,0.016346,0.002181,0.707156,0.000170,-0.012084,0.000210,-0.988797,12.750000
0.000051,0.005249,0.000000,0.045944,1.000000,0.021739,1.000000,-6795364572.831345,0.000254,0.404370,0.286000,0.016724,0.009053,6.200000,0.011291,0.021052,0.000000,0.342265,359.999997,0.707039,0.996338,-0.003896,0.007084,0.648518,10.000000,319.553833,-6795364572.931345,0.024973,0.000000,0.050295,0.000000,1.000000,0.013477,0.339000,0.707103,-0.785852,0.000000,0.021632,-6795364572.821345,0.707040,-1.117405,0.000000,0.010802,-0.784478,2.190596,0.217069,0.011028,448.078461,0.175847,-1.121714,0.000000,0.000000,0.644398,-0.003450,-0.000735,-0.003214,0.000000,0.707107,-6795364572.871345,-0.061110,3.141593,0.000047,0.707175,0.286000,0.021739,0.002425,0.707173,0.000213,0.001036,0.000257,-0.994046,12.750000
0.000064,0.006226,0.000000,0.045944,1.000000,0.021739,1.000000,-6795364572.831345,0.000393,0.409457,0.286000,0.019802,0.009053,6.200000,0.023550,0.026151,0.000000,0.342265,360.000000,0.707020,0.996147,-0.003967,0.021632,0.635802,10.000000,319.553833,-6795364572.831345,0.030131,0.000000,0.050172,0.000000,1.000000,0.016911,0.286000,0.707103,-0.813827,0.000000,0.021632,-6795364572.771345,0.707022,-1.115309,0.000000,0.013802,-0.784478,2.190596,0.225119,0.014089,448.078461,0.161484,-1.121714,0.000000,0.000000,0.644398,-0.003507,-0.000735,-0.002696,0.000000,0.707107,-6795364572.821345,-0.065738,3.141593,0.000057,0.707194,0.286000,0.021739,0.002386,0.707192,0.000266,-0.003777,0.000308,-0.994318,12.750000
0.000086,0.009278,0.000000,0.045944,1.000000,0.023165,1.000000,-6795364572.731345,0.000829,0.389111,0.093000,0.020740,0.009053,6.200000,0.018444,0.031054,0.000000,0.342265,359.999994,0.707005,0.996081,-0.003501,0.021632,0.648518,10.000000,318.897644,-6795364572.831345,0.034606,0.000000,0.049440,0.000000,1.000000,0.019646,0.286000,0.707105,-0.801111,0.000000,0.017944,-6795364572.721345,0.707007,-1.116489,0.000000,0.016095,-0.784478,1.817145,0.208652,0.016425,448.050354,0.074365,-1.121714,0.000000,0.000000,0.644398,-0.003488,-0.000662,-0.000643,0.000000,0.707106,-6795364572.771345,-0.052461,3.141593,0.000070,0.707208,0.093000,0.023165,0.001746,0.707206,0.000313,0.003091,0.000342,-0.995131,12.750000
0.000096,0.006429,0.000000,0.045944,1.000000,0.023165,1.000000,-6795364572.731345,0.000617,0.401827,0.093000,0.023439,0.009053,6.200000,0.025732,0.035894,0.000000,0.342265,359.999999,0.706989,0.996163,-0.003295,0.017944,0.605284,10.000000,318.897644,-6795364572.731345,0.039081,0.000000,0.049399,0.000000,1.000000,0.021974,0.093000,0.707105,-0.813827,0.000000,0.017944,-6795364572.671345,0.706992,-1.118117,0.000000,0.018647,-0.784478,1.817145,0.195225,0.019030,448.050354,0.095225,-1.121714,0.000000,0.000000,0.644398,-0.003461,-0.000662,-0.001811,0.000000,0.707107,-6795364572.721345,-0.058681,3.141593,0.000086,0.707224,0.093000,0.023165,0.001792,0.707222,0.000357,-0.024724,0.000386,-0.996373,12.750000
0.000107,0.005799,0.000000,0.045944,1.000000,0.027021,1.000000,-6795364572.631345,0.000360,0.381481,0.216000,0.026028,0.009053,6.200000,0.027151,0.040439,0.000000,0.342265,0.000001,0.706978,0.996348,-0.003265,0.017944,0.640889,10.000000,318.569550,-6795364572.731345,0.043428,0.000000,0.049501,0.000000,1.000000,0.023875,0.093000,0.707104,-0.812555,0.000000,0.018847,-6795364572.621345,0.706980,-1.119358,0.000000,0.020491,-0.784478,1.908629,0.189829,0.020912,448.061157,0.131555,-1.121714,0.000000,0.000000,0.644398,-0.003440,-0.000595,-0.002561,0.000000,0.707107,-6795364572.671345,-0.045291,3.141593,0.000102,0.707236,0.216000,0.027021,0.001983,0.707233,0.000397,-0.008748,0.000429,-0.997519,12.750000
