RollGyr,turnRate,TWa,EGPS0,Z3,TW,H1,W3,WValid,E2,GPSTrueCourse,C3,Z2,headingValid,A3,needsInitialization,W2a,EGyr1,staticMode,E3,PitchGPS,GPSVerticalAccuracy,T,W1,GPSAltitudeMSL,SmoothW2,D3,Ta,D1,gLoad,GPSFixQuality,M2,EGPS1,M1,slipSkid,B1,PitchGyr,A1,H2,D2,EGPS3,E0,EGyr2,EGPS2,HeadingGyr,Z1,EGyr0,M3,GroundSpeed,EGyr3,B3,HeadingGPS,Pitch,GPSNACp,Heading,E1,C1,BaroPressureAltitude,H3,C2,A2,W2,GPSHorizontalAccuracy,BaroVerticalSpeed,SmoothW1,B2,RollGPS,Roll,W1a,headingMag,W3a,SmoothGroundSpeed
0.000000,-0.001003,-6795364573.061345,0.707107,0.000000,-6795364573.061345,0.000000,0.021472,1.000000,0.000000,0.000000,-1.121714,0.000000,0.000000,-1.122105,0.000000,0.587000,0.000000,0.000000,0.707107,0.000000,18.150002,-6795364573.051345,0.000000,390.419952,0.011740,0.342265,-6795364573.051345,-0.784478,1.000450,1.000000,0.000000,0.000000,0.000000,-0.002912,-0.768388,0.000000,0.006668,0.000000,0.644398,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,0.707107,0.000000,0.587000,0.707107,0.398606,0.000000,0.000000,9.000000,0.000000,0.000000,0.009053,446.292480,0.000000,0.045944,0.049234,0.587000,11.799999,2.174464,0.000000,0.613083,0.000000,0.000000,0.000000,3.141593,0.021472,0.011740
0.000124,-0.001003,-6795364573.061345,0.707105,-0.700280,-6795364573.061345,0.003093,0.027955,1.000000,-0.000008,0.000000,-1.121714,-0.002170,0.000000,-1.122044,0.000000,0.587000,0.000013,1.000000,0.707091,0.105451,18.150002,-6795364573.011345,0.000000,390.419952,0.011740,0.342265,-6795364573.051345,-0.784478,1.000445,1.000000,0.000000,0.001417,0.000000,-0.002931,-0.789666,0.001913,0.006104,-0.047828,0.644398,0.707107,0.707123,-0.000011,0.000116,0.002675,-0.001841,0.707123,0.000000,0.587000,0.707090,0.434889,359.999951,0.003984,9.000000,0.002618,0.000041,0.009053,446.351898,-0.066877,0.045944,0.049440,0.587000,11.799999,2.830923,0.000000,0.572222,0.124262,0.002607,0.000000,3.141593,0.021472,0.011740
0.002238,-0.000902,-6795364573.061345,0.707105,-0.911887,-6795364572.961345,-0.007368,0.027955,1.000000,-0.000021,0.000000,-1.121714,-0.001819,0.000000,-1.124546,0.000000,0.587000,0.000048,1.000000,0.707072,0.121828,18.150002,-6795364572.961345,0.000000,389.763794,0.018265,0.342265,-6795364573.011345,-0.784478,1.000658,1.000000,0.000000,0.001475,0.000000,-0.002804,-0.773136,0.005535,0.006673,-0.031033,0.644398,0.707107,0.707142,-0.000020,-0.000028,0.005828,-0.002051,0.707143,0.000000,0.338000,0.707071,0.404370,359.999986,0.007861,9.000000,0.005709,0.000077,0.009053,446.351898,-0.064191,0.045944,0.047934,0.338000,11.799999,2.830923,0.000000,0.618000,0.117271,0.004539,0.000000,3.141593,0.027955,0.018265
0.004191,-0.000902,-6795364572.961345,0.707105,-0.974503,-6795364572.961345,-0.006971,0.027406,1.000000,-0.000027,0.000000,-1.121714,-0.002765,0.000000,-1.123081,0.000000,0.338000,0.000086,1.000000,0.707052,0.097139,18.150002,-6795364572.911345,0.000000,389.763794,0.018265,0.342265,-6795364572.961345,-0.784478,1.000726,1.000000,0.000000,0.001519,0.000000,-0.002841,-0.778222,0.009689,0.007691,-0.036557,0.644398,0.707107,0.707161,-0.000034,0.000320,0.009035,-0.001472,0.707163,0.000000,0.338000,0.707051,0.408185,359.999999,0.011437,9.000000,0.008852,0.000114,0.009053,446.351898,-0.066519,0.045944,0.049562,0.338000,11.799999,2.775414,0.000000,0.602741,0.148972,0.007087,0.000000,3.141593,0.027955,0.018265
0.007094,-0.000812,-6795364572.961345,0.707105,-0.992147,-6795364572.861345,0.000125,0.027406,1.000000,-0.000022,0.000000,-1.121714,-0.003197,0.000000,-1.121250,0.000000,0.338000,0.000119,1.000000,0.707028,0.103832,18.150002,-6795364572.861345,0.000000,388.123383,0.022080,0.342265,-6795364572.911345,-0.784478,1.000625,1.000000,0.000000,0.001714,0.000000,-0.002895,-0.788395,0.012242,0.006795,-0.016105,0.644398,0.707107,0.707186,-0.000032,0.000432,0.013106,-0.001848,0.707188,0.000000,0.209000,0.707026,0.434889,359.999999,0.014074,9.000000,0.012841,0.000151,0.009053,446.351898,-0.085077,0.045944,0.049725,0.209000,11.799999,2.775414,0.000000,0.633259,0.173920,0.010431,0.000000,3.141593,0.027406,0.022080
0.010338,-0.000812,-6795364572.861345,0.707104,-0.996772,-6795364572.861345,-0.001864,0.034651,1.000000,-0.000025,0.000000,-1.121714,-0.003709,0.000000,-1.120151,0.000000,0.209000,0.000166,1.000000,0.707014,0.102662,18.150002,-6795364572.811345,0.000000,388.123383,0.022080,0.342265,-6795364572.861345,-0.784478,1.000438,1.000000,0.000000,0.001876,0.000000,-0.002999,-0.782037,0.016527,0.007080,-0.049071,0.644398,0.707107,0.707199,-0.000038,0.000609,0.015314,-0.001777,0.707201,0.000000,0.209000,0.707012,0.373852,360.000000,0.018249,9.000000,0.015005,0.000200,0.009053,446.418884,-0.049450,0.045944,0.050295,0.209000,11.799999,3.509067,0.000000,0.579852,0.201427,0.014160,0.000000,3.141593,0.027406,0.022080
0.012385,-0.000731,-6795364572.861345,0.707104,-0.999640,-6795364572.761345,-0.035522,0.034651,1.000000,-0.000047,0.000000,-1.121714,-0.003040,0.000000,-1.122593,0.000000,0.209000,0.000205,1.000000,0.707000,0.146528,18.150002,-6795364572.761345,0.000000,386.811035,0.023258,0.342265,-6795364572.811345,-0.784478,1.000481,1.000000,0.000000,0.002030,0.000000,-0.002974,-0.734987,0.020808,0.005290,-0.051191,0.644398,0.707107,0.707214,-0.000052,0.000221,0.017716,-0.002884,0.707216,0.000000,0.081000,0.706997,0.396741,0.000003,0.023322,9.000000,0.017358,0.000241,0.009053,446.418884,-0.054213,0.045944,0.049074,0.081000,11.799999,3.509067,0.000000,0.590025,0.182408,0.015786,0.000000,3.141593,0.034651,0.023258
0.014485,-0.000731,-6795364572.761345,0.707104,-1.000002,-6795364572.761345,-0.026052,0.036105,1.000000,-0.000064,0.000000,-1.121714,-0.002746,0.000000,-1.121799,0.000000,0.081000,0.000243,1.000000,0.706984,0.172298,18.150002,-6795364572.711345,0.000000,386.811035,0.023258,0.342265,-6795364572.761345,-0.784478,1.000448,1.000000,0.000000,0.002080,0.000000,-0.002938,-0.762963,0.024929,0.005310,-0.032151,0.644398,0.707107,0.707229,-0.000064,-0.000046,0.020242,-0.003200,0.707232,0.000000,0.081000,0.706982,0.400555,0.000003,0.027875,9.000000,0.019834,0.000280,0.009053,446.437256,-0.057666,0.045944,0.048891,0.081000,11.799999,3.656347,0.000000,0.618000,0.164846,0.017492,0.000000,3.141593,0.034651,0.023258
0.016415,-0.000658,-6795364572.761345,0.707105,-0.999599,-6795364572.661345,-0.021591,0.036105,1.000000,-0.000074,0.000000,-1.121714,-0.002082,0.000000,-1.121006,0.000000,0.081000,0.000277,1.000000,0.706963,0.144519,18.150002,-6795364572.661345,0.000000,385.498688,0.029553,0.342265,-6795364572.711345,-0.784478,1.000346,1.000000,0.000000,0.001712,0.000000,-0.002824,-0.765506,0.028443,0.006877,-0.011371,0.644398,0.707107,0.707250,-0.000074,-0.000071,0.023763,-0.002314,0.707253,0.000000,0.338000,0.706960,0.429802,359.999997,0.030764,9.000000,0.023286,0.000305,0.009053,446.437256,-0.078589,0.045944,0.047934,0.338000,11.799999,3.656347,0.000000,0.638345,0.132986,0.018747,0.000000,3.141593,0.036105,0.029553
0.018054,-0.000658,-6795364572.661345,0.707105,-1.000286,-6795364572.661345,-0.013882,0.037657,1.000000,-0.000084,0.000000,-1.121714,-0.002142,0.000000,-1.122288,0.000000,0.338000,0.000307,1.000000,0.706946,0.141999,18.150002,-6795364572.611345,0.000000,385.498688,0.029553,0.342265,-6795364572.661345,-0.784478,1.000370,1.000000,0.000000,0.001652,0.000000,-0.002759,-0.774407,0.031634,0.006226,-0.017428,0.644398,0.707107,0.707268,-0.000084,-0.000100,0.026666,-0.002460,0.707271,0.000000,0.338000,0.706942,0.404370,359.999999,0.033841,9.000000,0.026131,0.000334,0.009053,446.456696,-0.067603,0.045944,0.048402,0.338000,11.799999,3.813449,0.000000,0.621815,0.125763,0.020209,0.000000,3.141593,0.036105,0.029553
